engine,concurrency,qps,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
Ordo,1,13675,0.10,0.10,0.10,0.10,32.00
OPA,1,9478,0.10,0.10,0.20,0.30,6.60
json-rules-engine,1,11075,0.10,0.10,0.10,0.20,5.40
Grule,1,5199,0.20,0.20,0.40,0.50,2.90
Ordo,5,33670,0.10,0.10,0.20,0.30,8.30
OPA,5,23547,0.20,0.20,0.50,0.60,4.00
json-rules-engine,5,19533,0.30,0.20,0.40,0.70,33.60
Grule,5,7282,0.70,0.70,1.20,1.30,6.20
Ordo,10,46529,0.20,0.20,0.30,0.40,10.20
OPA,10,25768,0.40,0.30,0.90,1.40,19.60
json-rules-engine,10,21224,0.50,0.40,0.80,1.00,17.30
Grule,10,5983,1.70,1.60,2.70,3.90,45.70
Ordo,25,53578,0.50,0.40,0.80,1.70,39.80
OPA,25,29616,0.80,0.50,2.60,4.00,13.40
json-rules-engine,25,22422,1.10,1.00,1.40,2.20,21.70
Grule,25,5721,4.40,4.20,7.50,9.20,34.20
Ordo,50,59952,0.80,0.80,1.50,2.70,23.70
OPA,50,30930,1.60,0.90,5.60,8.20,29.30
json-rules-engine,50,22401,2.20,2.20,2.50,4.40,66.60
Grule,50,6445,7.80,7.50,13.60,16.60,32.90
Ordo,100,60823,1.60,1.50,3.20,4.70,43.00
OPA,100,33747,3.00,1.60,9.50,13.30,60.60
json-rules-engine,100,22131,4.50,4.40,4.90,7.90,251.40
Grule,100,7523,13.30,12.90,22.90,28.10,78.30
Ordo,150,61172,2.40,2.20,5.10,7.20,32.50
OPA,150,35713,4.20,2.40,13.70,18.80,38.00
json-rules-engine,150,21716,6.90,6.80,7.40,8.10,716.30
Grule,150,7960,18.80,18.40,32.40,39.30,97.00
Ordo,200,61307,3.30,2.80,7.20,10.50,76.00
OPA,200,35629,5.60,3.20,18.50,25.80,84.40
json-rules-engine,200,21249,9.40,8.90,9.70,10.20,1125.70
Grule,200,8371,23.90,23.40,40.80,50.10,114.60
Ordo,300,61096,4.90,4.00,11.80,16.90,44.90
OPA,300,37029,8.10,4.70,27.00,37.40,74.70
json-rules-engine,300,17314,17.30,13.90,19.90,24.30,2050.70
Grule,300,8679,34.50,33.70,59.20,73.90,149.30
Ordo,500,62748,8.00,6.50,19.00,27.10,95.80
OPA,500,37082,13.50,7.70,45.90,64.10,137.90
json-rules-engine,500,14342,34.80,31.50,43.40,83.30,4347.80
Grule,500,8680,57.50,56.60,97.40,118.70,187.10
